topic_name,topic_id,words
Инвестиции и капитальные вложения,260,"сегмент, убыток, делистинг, прибыльность, операция, активизация, операционныи, прибыль, актив, активность, разделение, извлечение, доходность, инвестиция, ликвидация, ликвидность, избыток, факторинг, эксплуатация, разделительныи, прибыльныи, доходныи, выручка, делить, бизнес, раздельныи, обесценение, потеря, доходы, инвестиционныи, деиствие, выделение, деятельно, мероприятие, разрушение, участие, потерять, доход, активныи, выход, амортизация, раздел, итог, лизинговыи, извлекать, информатизация, фективность, производствен, уничтожение, этап"
Отношения с работниками,265,"компенсация, компенсационныи, уплата, выплата, профсоюз, работник, профсоюзныи, зарплата, зарплатныи, инвалидность, компенсировать, работодатель, пособие, трудовои, льготныи, пенсия, сокращение, льгота, пенсионныи, заработок, рабочии, выплачивать, инвалид, трудозатрата, отчисление, выплачиваться, увольнение, зачисление, премия, сокращать, сокращаться, расчетныи, стипендия, доходность, безработица, отработка, сотрудник, резюме, уплачивать, доплата, соцсеть, начисление, доход, субсидия, доходы, трудоспособныи, больничныи, трудоустроиство, персонал, пенсионер"
Инвестиции и капитальные вложения,271,"факторинг, обесценение, убыток, девальвация, инвестиция, ценность, инвентаризация, амортизация, прогнозирование, инвестиционныи, инвестирование, прогнозировать, объективность, капитал, активизация, прогноз, избыток, прогнозныи, капитализация, экономика, обесценить, информатизация, объект, сцена, инвестировать, расчетныи, индексация, представление, предположение, инфляция, фактор, тенденция, капитальныи, капиталь, ликвидность, проявление, фундаментальныи, расчет, волатильность, недвижимость, объективныи, предмет, деиствие, прибыльность, показание, характеризовать, акция, вычисление, фективность, актив"
Инвестиции и капитальные вложения,280,"инвестиционныи, инвестиция, инвестирование, инвестировать, инвестор, инвест, инвестированныи, инвестпроект, инвестмент, инвестпрограмма, металлоинвест, капитал, капитальныи, капиталь, фондовыи, капитализация, фонд, информатизация, депозитарии, финансирование, проминвестбанк, инна, вкладывать, дивиденд, дивидендныи, затратныи, обеспеченность, ценообразование, депозит, финансировать, финансироваться, акционерныи, финансы, инвентаризация, доходность, ндфл, вклад, доходныи, накладывать, инновация, финанс, акция, затратить, депозитарныи, инфляция, ин, возведение, расходование, холдинговыи, сбережение"
Оплата труда,281,"компенсация, компенсационныи, компенсировать, выплата, уплата, возмещение, зарплатныи, зарплата, работник, выплачивать, возмездныи, доплата, вознаграждение, профсоюз, профсоюзныи, уплачивать, выплачиваться, уплатить, отчисление, льготныи, платить, пособие, ущерб, заработок, совмещение, пожертвование, премия, оплатить, возмещать, доходность, реформа, коллектив, стипендия, разделение, выплатить, взнос, соцсеть, разделительныи, возрождение, повреждение, субсидия, оплата, сокращение, волонтерство, взаиморасчет, пенсионер, сотрудник, расчетныи, разделять, льгота"
Налоги,282,"налогообложение, налоговыи, налог, приток, таджикистан, туркменистан, бухгалтер, логистическии, логичныи, бухгалтерия, отчетности, отчетность, декларация, пошлина, федерация, логия, ип, коррупционныи, коррупция, подотчетность, предприниматель, турецкии, ндфл, конфигурация, инфраструктура, паводковыи, логистика, отчета, республиканскии, штрафнои, бухгалтерскии, федеральныи, инвестиция, антикоррупция, дальневосточныи, терроризм, доходность, инновация, норматив, доходныи, таманьнефтегаз, иностранныи, табачныи, испания, территориальныи, нормативныи, республика, правительство, провинция, инфляция"
Инвестиции и капитальные вложения,291,"капитализация, капитал, капиталь, капитальныи, амортизация, реорганизация, инвентаризация, дивидендныи, дивиденд, корректировка, инвестиция, изменение, активизация, исправление, корректность, информатизация, учредить, акция, корректировать, реформирование, адаптация, модификация, инвестиционныи, преобразование, директива, скорректировать, ликвидация, изменить, меняться, диверсификация, измениться, девальвация, декларация, реновация, столица, регулирование, инвестирование, управленческии, инновация, трансформация, реорганизовать, актуализация, реформа, замещать, ликвидность, регулироваться, реставрация, изменяться, учредитель, корректив"
Благотворительность,317,"премия, лауреат, награда, награднои, награждение, наградить, литературныи, литература, победитель, приз, конкурс, звание, писатель, опубликование, тираж, конкурсныи, честь, публикация, медаль, публиковаться, знаменитыи, опубликовать, книга, произведение, талантливыи, читатель, кандидат, публика, издательскии, преемник, призовои, биография, издание, спонсорство, публиковать, вознаграждение, талант, биографическии, победа, кандидатура, журналист, выиграть, финалист, роман, популярность, станислав, победить, финал, диплом, грамотность"
Отношения с работниками,320,"участие, социально, льготныи, компенсация, льгота, работник, премия, выплата, вознаграждение, возмещение, членство, уплата, персонал, сотрудник, участвовать, поучаствовать, компенсационныи, награда, участник, семья, компенсировать, ветеран, содеиствовать, пенсия, общественность, общественныи, платить, реагировать, себестоимость, награднои, наградить, взнос, воздеиствовать, соцсеть, взаимоуважение, волонтерство, уплатить, воздеиствие, инвалидность, пенсионныи, содеиствие, задеиствовать, взаимодеиствие, заработок, возмездныи, выгода, ценностныи, благополучие, ствовать, ценность"
Оплата труда,322,"зарплатныи, зарплата, трудовои, рабочии, работодатель, работник, трудоустроиство, производствен, профсоюз, трудозатрата, профсоюзныи, трудоустроить, вакансия, завод, уплата, трудиться, комбинат, трудник, стажировка, заработок, рисковои, труд, фабрикация, ведомость, подрядныи, риск, риска, безработица, трудоемкость, работни, минтруд, забастовка, отработка, оплачиваться, цеховои, выплачиваться, карьерныи, дежурство, нерабочии, инженерныи, квалифицировать, уплачивать, подчиненныи, выплата, дисконтирование, совмещение, занятость, добычныи, профессия, расчетныи"
